;bill/BillType;bill/BillingEntity;bill/BillingPeriodEndDate;bill/BillingPeriodStartDate;bill/InvoiceId;bill/PayerAccountId;identity/LineItemId;identity/TimeInterval;lineItem/AvailabilityZone;lineItem/BlendedCost;lineItem/BlendedRate;lineItem/CurrencyCode;lineItem/LineItemDescription;lineItem/LineItemType;lineItem/NormalizationFactor;lineItem/NormalizedUsageAmount;lineItem/Operation;lineItem/ProductCode;lineItem/TaxType;lineItem/UnblendedCost;lineItem/UnblendedRate;lineItem/UsageAccountId;lineItem/UsageAmount;lineItem/UsageEndDate;lineItem/UsageStartDate;lineItem/UsageType;pricing/publicOnDemandCost;pricing/publicOnDemandRate;pricing/term;pricing/unit;product/ProductName;product/alarmType;product/availability;product/clockSpeed;product/currentGeneration;product/databaseEngine;product/dedicatedEbsThroughput;product/deploymentOption;product/description;product/durability;product/ecu;product/endpointType;product/engineCode;product/enhancedNetworkingSupported;product/feeCode;product/feeDescription;product/freeTier;product/fromLocation;product/fromLocationType;product/group;product/groupDescription;product/instanceFamily;product/instanceType;product/instanceTypeFamily;product/licenseModel;product/location;product/locationType;product/mailboxStorage;product/maxIopsBurstPerformance;product/maxIopsvolume;product/maxThroughputvolume;product/maxVolumeSize;product/memory;product/minVolumeSize;product/networkPerformance;product/normalizationSizeFactor;product/operatingSystem;product/operation;product/physicalProcessor;product/preInstalledSw;product/processorArchitecture;product/processorFeatures;product/productFamily;product/region;product/requestDescription;product/requestType;product/servicecode;product/servicename;product/sku;product/storage;product/storageClass;product/storageMedia;product/tenancy;product/toLocation;product/toLocationType;product/transferType;product/usagetype;product/vcpu;product/version;product/volumeType;reservation/NormalizedUnitsPerReservation;reservation/TotalReservedNormalizedUnits;reservation/TotalReservedUnits;reservation/UnitsPerReservation;resourceTags/aws:createdBy;resourceTags/user:Name;resourceTags/user:area;resourceTags/user:db;resourceTags/user:dtap;resourceTags/user:purpose
0;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;3jsiuskpd7uzppiqqukfo5ekhblkhwrfv2djpffu3anvrudskviq;2017-09-01T00:00:00Z/2017-10-01T00:00:00Z;;0.0;;USD;Tax for product code AWSDataTransfer usage type EU-APS3-AWS-Out-Bytes;Tax;;;;AWSDataTransfer;USSalesTax;0.0;;509579572466;1.0;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;EU-APS3-AWS-Out-Bytes;;;;;AWS Data Transfer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;faltnkq72uluyxvf62t64zhbsqv7pje22p5pvgotkwjoeigrcftq;2017-09-01T00:00:00Z/2017-10-01T00:00:00Z;;6.1;;USD;Tax for product code AmazonCloudFront usage type EU-Requests-Tier1 operation GET;Tax;;;GET;AmazonCloudFront;VAT;6.1;;509579572466;1.0;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;EU-Requests-Tier1;;;;;Amazon CloudFront;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;rylttqwaqfpsaxshkrtp3vdmxvlgbdx7hzul5rmiwvxwatylcjaa;2017-09-01T00:00:00Z/2017-10-01T00:00:00Z;;4.05;;USD;Tax for product code AmazonEC2 usage type EU-BoxUsage:t2.micro operation RunInstances;Tax;;;RunInstances;AmazonEC2;VAT;4.05;;509579572466;1.0;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;EU-BoxUsage:t2.micro;;;;;Amazon Elastic Compute Cloud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;vhepxbguf5n4m7vrs2iagxsmt7yjm2mhzof3zvdbiwf5xc5gduta;2017-09-01T00:00:00Z/2017-10-01T00:00:00Z;;6.81;;USD;Tax for product code AmazonCloudFront usage type EU-DataTransfer-Out-Bytes;Tax;;;;AmazonCloudFront;VAT;6.81;;509579572466;1.0;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;EU-DataTransfer-Out-Bytes;;;;;Amazon CloudFront;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;zefwxeutop3dmj7schw4gfppkg4tj3uc6ki37viutko22rixcpua;2017-09-01T00:00:00Z/2017-10-01T00:00:00Z;;0.13;;USD;Tax for product code awskms usage type us-east-1-KMS-Keys;Tax;;;;awskms;VAT;0.13;;509579572466;1.0;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;us-east-1-KMS-Keys;;;;;AWS Key Management Service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;ql633b3l4p5w5atw25i4t4w2myyqceb3nijpxadxupugegxwqvlq;2017-09-01T00:00:00Z/2017-10-01T00:00:00Z;;0.0;;USD;Tax for product code AmazonCloudFront usage type EU-Requests-HTTP-Proxy;Tax;;;;AmazonCloudFront;USSalesTax;0.0;;509579572466;1.0;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;EU-Requests-HTTP-Proxy;;;;;Amazon CloudFront;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;r2k4e3gine5kyl4syanj7243obmrmkueorquam6um3a7he6y4rqq;2017-09-01T00:00:00Z/2017-10-01T00:00:00Z;;0.53;;USD;Tax for product code AmazonWorkMail usage type EUW1-WorkMail-NormalTier-UserHrs;Tax;;;;AmazonWorkMail;VAT;0.53;;509579572466;1.0;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;EUW1-WorkMail-NormalTier-UserHrs;;;;;AmazonWorkMail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;t27gaouqdefj5afwemcqh3bi2ixajlz2l5dwjnliuahzdhj73ihq;2017-09-01T00:00:00Z/2017-10-01T00:00:00Z;;0.0;;USD;Tax for product code AWSDataTransfer usage type USE1-USE2-AWS-Out-Bytes;Tax;;;;AWSDataTransfer;USSalesTax;0.0;;509579572466;1.0;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;USE1-USE2-AWS-Out-Bytes;;;;;AWS Data Transfer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;6f7yek3w2japvttccoyintac2pli4g2jt5ezg3zquktsz4rywbiq;2017-09-01T00:00:00Z/2017-10-01T00:00:00Z;;0.0;;USD;Tax for product code AmazonCloudFront usage type CA-Requests-Tier1 operation GET;Tax;;;GET;AmazonCloudFront;USSalesTax;0.0;;509579572466;1.0;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;CA-Requests-Tier1;;;;;Amazon CloudFront;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;75cqqfrgwwz5tlgom2fhyzk7gd2mz5iksxkcbgvcsettjf5ffjfq;2017-09-01T00:00:00Z/2017-10-01T00:00:00Z;;0.0;;USD;Tax for product code AWSDataTransfer usage type EU-CAN1-AWS-Out-Bytes;Tax;;;;AWSDataTransfer;USSalesTax;0.0;;509579572466;1.0;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;EU-CAN1-AWS-Out-Bytes;;;;;AWS Data Transfer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
